paper_id,gender,race,decision
BkbY4psgg,male,EastAsian,Accept
rJxdQ3jeg,male,French,Accept
rJY0-Kcll,male,IndianSubContinent,Accept
S1Bb3D5gg,male,British,Accept
Hk4_qw5xe,male,EastEuropean,Accept
SJ6yPD5xg,male,Jewish,Accept
Hk8N3Sclg,female,Africans,Accept
Sy8gdB9xx,,EastAsian,Accept
r1Ue8Hcxg,male,Jewish,Accept
SJ3rcZcxl,male,EastAsian,Accept
rJLS7qKel,male,EastEuropean,Accept
H1oyRlYgg,male,Muslim,Accept
HkwoSDPgg,male,British,Accept
S1RP6GLle,male,Japanese,Accept
HJ0NvFzxl,male,French,Accept
Sks9_ajex,male,EastEuropean,Accept
r1YNw6sxg,male,French,Accept
B1oK8aoxe,male,Hispanic,Accept
BJK3Xasel,male,British,Accept
SkkTMpjex,male,EastAsian,Accept
rJqFGTslg,male,EastAsian,Accept
BJAFbaolg,male,British,Accept
S1TER2oll,female,EastAsian,Accept
rk5upnsxe,female,EastAsian,Accept
HkEI22jeg,female,British,Accept
S1X7nhsxl,male,British,Accept
B1Igu2ogg,female,EastAsian,Accept
Hyq4yhile,male,IndianSubContinent,Accept
B1gtu5ilg,male,EastAsian,Accept
BJhZeLsxx,male,EastEuropean,Accept
SJJKxrsgl,male,EastAsian,Accept
SkYbF1slg,male,EastAsian,Accept
BJrFC6ceg,male,British,Accept
HJKkY35le,male,EastAsian,Accept
Skn9Shcxe,male,EastEuropean,Accept
B184E5qee,male,British,Accept
Sk2Im59ex,male,IndianSubContinent,Accept
B16dGcqlx,male,French,Accept
rk9eAFcxg,male,IndianSubContinent,Accept
ry_sjFqgx,male,Germanic,Accept
r1LXit5ee,male,French,Accept
HJGwcKclx,female,Germanic,Accept
HJjiFK5gx,,EastAsian,Accept
rJTKKKqeg,male,Jewish,Accept
rJQKYt5ll,male,Germanic,Accept
rJ0-tY5xe,female,EastAsian,Accept
B1ewdt9xe,male,British,Accept
Sk-oDY9ge,female,Hispanic,Accept
Hk95PK9le,male,French,Accept
BJKYvt5lg,male,IndianSubContinent,Accept
BJYwwY9ll,male,EastAsian,Accept
Hk3mPK5gg,female,EastAsian,Accept
rJ0JwFcex,male,Italian,Accept
rkEFLFqee,male,Hispanic,Accept
HJDBUF5le,male,British,Accept
HJWHIKqgl,male,British,Accept
ryHlUtqge,female,British,Accept
S11KBYclx,male,Jewish,Accept
ry4Vrt5gl,male,EastAsian,Accept
HJTzHtqee,,EastAsian,Accept
H1VyHY9gg,male,EastAsian,Accept
Hku9NK5lx,male,EastAsian,Accept
BybtVK9lg,male,IndianSubContinent,Accept
ryelgY5eg,male,IndianSubContinent,Accept
B1M8JF9xx,male,EastAsian,Accept
S1_pAu9xl,male,EastAsian,Accept
HyoST_9xl,male,EastAsian,Accept
Bkab5dqxe,male,EastAsian,Accept
SJTQLdqlg,male,Jewish,Accept
ByxpMd9lx,male,EastAsian,Accept
B1hdzd5lg,male,EastAsian,Accept
SyK00v5xx,male,Hispanic,Accept
BydARw9ex,female,British,Accept
r1nTpv9eg,male,IndianSubContinent,Accept
ryT4pvqll,male,EastAsian,Accept
ryrGawqex,male,British,Accept
SyxeqhP9ll,female,EastAsian,Accept
SJGCiw5gl,male,EastEuropean,Accept
B1MRcPclx,male,EastAsian,Accept
S1c2cvqee,male,British,Accept
B1-q5Pqxl,,EastAsian,Accept
